transmitter_id,tag_id,transmitter_deployment_id,species_scientific_name,total_detections,detections_before_deployment,invalid_deployment_location,detections_outside_species_range,valid_detections,tracking_duration_days,invalid_velocity
A69-9001-27683,51052404,70528638,Carcharhinus obscurus,10,0,FALSE,0,8,683.03,0
A69-9001-27686,51052416,70528731,Carcharhinus obscurus,47,0,FALSE,0,46,1539.42,0
